round,strategy,display_name,role,policy,transition_variant,gate_mode,seed_index,transition_l1_error,off_support_leakage,reward_pct_oracle,top1_agreement,top2_agreement
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,0,0.0649272381363399,0.011416425023814,97.53140629427948,0.767,0.924
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,1,0.0708137870483281,0.0136573008285871,97.76735514230272,0.848,0.957
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,2,0.0781400455016787,0.0115421130293883,96.43749637174092,0.738,0.891
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,3,0.0679842976726023,0.0117179211527332,95.28712484217044,0.716,0.874
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,4,0.0676785226169465,0.0141165621008796,97.9833460869296,0.769,0.926
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,5,0.0747033039256662,0.0111652594232488,99.81465297262818,0.864,0.957
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,6,0.0700093497812992,0.0137371051754795,98.71937052429344,0.799,0.884
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,7,0.0648377129375554,0.0131111015706874,97.3099021776184,0.792,0.937
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,8,0.0697120940840498,0.0132994870067518,89.7969042206451,0.635,0.8
1000,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,9,0.0681493338666722,0.0140397970802703,94.7023929935236,0.641,0.908
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,0,0.0688990419361675,0.0129831738333149,97.48954082728032,0.805,0.939
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,1,0.0707457120260813,0.0138634102563816,97.39596335676492,0.861,0.933
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,2,0.0703517205039562,0.0140673169640645,99.80451846700892,0.806,0.938
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,3,0.0641761985106324,0.0151504012822865,92.40240711620352,0.623,0.811
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,4,0.0744093784541972,0.0120462542662467,95.36541017567282,0.714,0.837
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,5,0.0668442873825325,0.0134216470838755,96.30881150570914,0.734,0.931
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,6,0.0736682235826134,0.0151644773998297,99.48957270153429,0.769,0.863
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,7,0.0669366382901153,0.0135487196800972,95.69433214931284,0.68,0.839
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,8,0.0729764010226207,0.0144984803688301,95.12389677486706,0.616,0.864
1000,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,9,0.0711397160730179,0.0166095704453343,98.3227084463775,0.842,0.96
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,0,0.0671226461794124,0.0125832731174909,93.19674759283936,0.743,0.911
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,1,0.0674812592597961,0.0140276636032256,98.21312060675598,0.864,0.964
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,2,0.0719603325916864,0.0144944370051829,96.8180301400682,0.768,0.898
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,3,0.0648173112541961,0.0142961267268436,96.85096887528437,0.708,0.862
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,4,0.0735992460458539,0.0139507912634813,96.64499470981036,0.74,0.861
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,5,0.0695823952953161,0.0140712816920338,98.94047999302308,0.72,0.892
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,6,0.0723917545511985,0.0162968448815563,97.96851975423164,0.7,0.803
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,7,0.0751325538902365,0.0135396561331228,97.13202503662065,0.651,0.877
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,8,0.0676342402660923,0.0142944376084672,95.2163097084873,0.702,0.882
1000,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,9,0.0717229017509366,0.0128526429473397,97.68882527054603,0.757,0.931
