policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
local_ucb_tw,20262279,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,36.71331205555756,36713.31205555756,37991.987218614755,96.63435567163306,1278.6751630571962,0.68,0.853,0.11188928033092119,0.024315213198168175,4.619156999999973,local_ucb_tw_dense,context_noise_refinement
exp4,20261402,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,37.81982417245229,37819.824172452296,37553.91140793852,100.70808273903945,-265.9127645137778,0.69,0.903,0.11867864843436415,0.034106211218454426,4.688490750000028,exp4_dense,context_noise_refinement
tw,20261252,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,36.43994733484081,36439.94733484081,38479.1810384404,94.70042332355666,2039.2337035995952,0.697,0.867,0.11830787702291176,0.01376220906224687,4.52649129100007,tw_dense,context_noise_refinement
tm_tw,20261572,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,35.32886133527449,35328.86133527449,37591.43193511462,93.9811534613912,2262.5705998401318,0.57,0.761,0.11299223789988239,0.014861175386713697,4.641056708000065,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262400,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,37.04569382685558,37045.69382685558,37542.57259411655,98.67649249125023,496.87876726096874,0.766,0.917,0.1124517414436544,0.021338561647875294,4.638241707999896,tm_tw_refined_dense,context_noise_refinement
tw,20262076,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,36.152174358289,36152.174358289005,38797.81416285973,93.18095655217779,2645.6398045707247,0.587,0.762,0.06890988183247479,0.014803756202810719,4.559410667000066,tw_gated_offline,context_noise_refinement
tm_tw,20262396,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,35.19169503657035,35191.69503657035,37744.463507751774,93.23670749577047,2552.768471181422,0.575,0.77,0.06439139265107169,0.014708320652853038,4.662227917000109,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263224,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,36.084116237241844,36084.11623724184,37707.683858370445,95.69433214931284,1623.5676211286045,0.68,0.839,0.06693663829011536,0.013548719680097228,4.657941583000024,tm_tw_refined_gated_offline,context_noise_refinement
tw,20263032,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,34.332648439727286,34332.64843972729,37790.454612095506,90.85005404708339,3457.8061723682185,0.606,0.838,0.07289172821789214,0.013584590898113038,4.98128004199998,tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263352,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,36.24678770582203,36246.78770582203,38638.822745821075,93.80924451105915,2392.035039999042,0.567,0.755,0.06821001534519323,0.013886177837141947,5.077821583999935,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20264180,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,36.526388467595744,36526.388467595745,37604.88721801548,97.13202503662063,1078.4987504197343,0.651,0.877,0.07513255389023657,0.013539656133122835,5.090304250000031,tm_tw_refined_gated_offline_low_rank,context_noise_refinement
tw,20262356,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,35.04287194153046,35042.87194153046,37082.15809056878,94.5006271100576,2039.286149038322,0.67,0.887,0.05778301265481632,1.1287822541352912e-07,4.628880084000002,tw_support_offline,context_noise_refinement
tm_tw,20262676,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,34.8981976025311,34898.1976025311,37288.34255995415,93.59010137396145,2390.14495742305,0.648,0.858,0.06513853275224898,1.0716321321954626e-07,4.663207958000044,tm_tw_support_offline,context_noise_refinement
