policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tm_tw_refined,20262395,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8746.545343597742,874654.5343597741,1258619.03216267,69.49319150663611,383964.49780289596,0.46,0.62,0.2750616112124632,0.03589853137035733,0.5940492500000119,tm_tw_refined_dense,context_noise_refinement
tw,20262071,100,20,2,0.0,0.45,0.2,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6841.418748399438,684141.8748399438,1572508.1601889557,43.506411741465044,888366.2853490119,0.44,0.74,0.1895010485554448,0.025578107729256873,0.580108249999995,tw_gated_offline,context_noise_refinement
tm_tw,20262391,100,20,2,0.0,0.45,0.2,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4925.398434866436,492539.84348664363,1153469.8814198936,42.70071125570605,660930.03793325,0.47,0.71,0.19221901197814437,0.025473576868470255,0.5927153750000116,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263219,100,20,2,0.0,0.45,0.2,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,9858.924217057,985892.4217056999,1164096.0718255262,84.69167155247172,178203.6501198263,0.47,0.73,0.19277982817165645,0.025646789856244336,0.5924281670000084,tm_tw_refined_gated_offline,context_noise_refinement
tw,20263027,100,20,2,0.0,0.45,0.2,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,10408.419201178353,1040841.9201178352,1441536.74809467,72.2036341767598,400694.82797683484,0.39,0.56,0.1891484240853379,0.024762791498688208,0.7136831659999814,tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263347,100,20,2,0.0,0.45,0.2,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,4439.42026026441,443942.02602644096,1325235.4676996004,33.49910539272347,881293.4416731594,0.38,0.57,0.1932603634485941,0.025343431335379564,0.7229605830000025,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20264175,100,20,2,0.0,0.45,0.2,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,11005.473472937108,1100547.3472937108,1420117.8286725457,77.49690378314924,319570.4813788349,0.37,0.66,0.1853349837640784,0.025106792327428087,0.7200706250000053,tm_tw_refined_gated_offline_low_rank,context_noise_refinement
tw,20262351,100,20,2,0.0,0.45,0.2,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,14425.101411364847,1442510.1411364847,1565841.4667616324,92.1236390628859,123331.32562514767,0.76,0.85,0.09874279639259415,0.007448789050237812,0.5794773340000177,tw_support_offline,context_noise_refinement
tm_tw,20262671,100,20,2,0.0,0.45,0.2,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,8106.472169268735,810647.2169268735,1226222.6903862664,66.10929835848295,415575.4734593929,0.47,0.64,0.10572835237035368,0.007943366555614076,0.5888451659999987,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263499,100,20,2,0.0,0.45,0.2,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,9055.014325432574,905501.4325432574,1269286.876555235,71.33938349703351,363785.4440119775,0.48,0.68,0.09693682331918606,0.006469192240696541,0.5909314170000073,tm_tw_refined_support_offline,context_noise_refinement
