S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
100,0.2,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,3,40.12972643946972,0.371527926222816,0.009506816839402351,0.22999999999999998,0.47000000000000003,627875.5600965573
100,0.2,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,3,51.810391105208794,0.3718476563091522,0.009514841661898227,0.32666666666666666,0.5666666666666665,517296.2472768097
100,0.2,1.0,1.0,deterministic,0.1,oracle,3,90.85266090950245,0.3711885007702968,0.009497886962247766,0.79,0.9133333333333334,92577.71285517805
100,0.2,1.0,1.0,deterministic,0.1,state_thompson,3,40.5816957180401,0.3716656531015056,0.009509601461219328,0.25666666666666665,0.4166666666666667,586101.7612387749
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_dense,3,51.4423176227717,0.3720821781871552,0.00952093082188975,0.32,0.5166666666666666,493633.3119971926
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,3,53.47760938380918,0.31546497538683743,0.008072253869957023,0.31666666666666665,0.5566666666666668,465573.87147545256
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,3,38.076880253582424,0.3162217311714906,0.00809109212105244,0.25333333333333335,0.4666666666666666,630484.5588069573
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,3,60.86422274505617,0.37192736796344006,0.00951640303888907,0.3933333333333333,0.61,404752.4843687097
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,3,64.62173681022797,0.3166439603567115,0.008102334353183596,0.4166666666666667,0.6466666666666667,347499.89229351125
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,3,65.83237607664115,0.3156576957281199,0.008077185281182083,0.43333333333333335,0.6966666666666667,322492.7463621752
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,3,64.72903966213931,0.07359048078173447,0.0005465253048058992,0.4066666666666667,0.64,335282.6551109641
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_support_offline,3,45.096632029541134,0.07332138038513791,0.0005116144553712684,0.3466666666666667,0.52,545229.6083531232
100,0.2,1.0,1.0,deterministic,0.1,tw_dense,3,44.94423332348739,0.371477176575373,0.009505518235532086,0.27,0.48666666666666664,542040.2237667207
100,0.2,1.0,1.0,deterministic,0.1,tw_gated_offline,3,45.814960035229994,0.31553609814728284,0.008074058223956381,0.27999999999999997,0.4633333333333333,549866.5409081505
100,0.2,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,3,38.11989329318394,0.31566660690216425,0.008077153856414693,0.28,0.48666666666666664,685557.5367528568
100,0.2,1.0,1.0,deterministic,0.1,tw_support_offline,3,31.580753735537098,0.07361390531058387,0.0005369190081464148,0.20000000000000004,0.4266666666666667,676219.78340851
100,0.3,1.0,1.0,deterministic,0.1,exp4_dense,3,61.53384801178115,0.3757974653009723,0.009616067647053242,0.43333333333333335,0.6433333333333334,378049.93920635385
100,0.3,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,3,47.935544874971434,0.3763482189377679,0.009630144933552456,0.33,0.5199999999999999,505458.21609905857
100,0.3,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,3,45.39341785725676,0.3762364093265897,0.009627299536124727,0.32666666666666666,0.5466666666666666,532261.9368748321
100,0.3,1.0,1.0,deterministic,0.1,oracle,3,88.43625334965759,0.3758184437658385,0.009616604453061561,0.7733333333333333,0.8766666666666666,125132.46135711177
100,0.3,1.0,1.0,deterministic,0.1,state_thompson,3,43.30622323904086,0.3759899780013605,0.009620842941441887,0.21333333333333335,0.42333333333333334,591502.9171478337
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_dense,3,41.24837599943235,0.3758231489433894,0.00961672485117437,0.24333333333333332,0.47,621447.5435332907
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,3,44.43013355817137,0.3193266211969712,0.008171067328715892,0.2233333333333333,0.44333333333333336,576398.7803048437
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,3,44.12156061725654,0.3199086243254682,0.008185959875822194,0.25666666666666665,0.47000000000000003,565396.9155684378
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,3,58.79291632635926,0.3761520925448781,0.009625142001943197,0.36000000000000004,0.6233333333333334,409355.00916941016
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,3,63.300588422768335,0.32021241780359255,0.008193614847650799,0.3833333333333333,0.6066666666666667,375186.4405956112
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,3,63.60490705368011,0.31980805026442244,0.008183386343364277,0.4366666666666667,0.6066666666666667,352470.60064114904
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,3,62.38697710712503,0.07520745096433253,0.0006973724581805858,0.39666666666666667,0.63,344329.98584801774
